last_name, first_name,player_id,year,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_game,b_hit_by_pitch,b_sac_bunt,b_sac_fly,r_run,Points
Frazier, Todd,453943,2021,35,40,3,2,1,0,0,6,3,0.086,0.114,0.2,0.314,4,0,0,13,2,0,0,3,17
Maldonado, Martin,455117,2021,373,426,64,41,10,1,12,127,47,0.172,0.3,0.272,0.573,36,0,0,125,5,0,1,40,212.5
Chirinos, Robinson,455139,2021,97,112,22,11,5,1,5,36,9,0.227,0.454,0.321,0.775,15,0,0,45,5,1,0,13,83
Price, David,456034,2021,15,18,4,3,1,0,0,3,0,0.267,0.333,0.222,0.556,2,0,0,37,0,2,1,1,8.5
Cueto, Johnny,456501,2021,29,37,2,2,0,0,0,9,3,0.069,0.069,0.135,0.204,0,0,1,21,0,5,0,1,3.5
Cain, Lorenzo,456715,2021,257,286,66,45,13,0,8,48,26,0.257,0.401,0.329,0.729,36,2,13,78,2,0,1,40,243
Solano, Donovan,456781,2021,307,344,86,62,17,0,7,58,25,0.28,0.404,0.343,0.747,31,0,2,101,7,1,4,35,228
McCutchen, Andrew,457705,2021,482,574,107,55,24,1,27,132,81,0.222,0.444,0.334,0.778,80,2,6,144,4,0,7,78,481
Upton, Justin,457708,2021,318,362,67,38,12,0,17,107,39,0.211,0.409,0.296,0.704,41,1,4,89,1,0,3,47,252.5
Maybin, Cameron,457727,2021,28,33,1,1,0,0,0,12,3,0.036,0.036,0.182,0.218,0,0,1,9,2,0,0,2,4
Turner, Justin,457759,2021,533,612,148,99,22,0,27,98,61,0.278,0.471,0.361,0.832,87,0,3,151,12,0,6,87,542
Posey III, Buster,457763,2021,395,454,120,79,23,0,18,87,56,0.304,0.499,0.39,0.889,56,0,0,113,1,0,2,68,390.5
Bruce, Jay,457803,2021,34,39,4,2,1,0,1,13,5,0.118,0.235,0.231,0.466,3,0,0,10,0,0,0,3,15.5
Happ, J.A.,457918,2021,14,15,0,0,0,0,0,5,1,0,0,0.067,0.067,0,0,0,10,0,0,0,0,-1.5
Votto, Joey,458015,2021,448,533,119,59,23,1,36,127,77,0.266,0.563,0.375,0.938,99,0,1,129,4,0,4,73,542.5
Gardner, Brett,458731,2021,387,461,86,56,16,4,10,100,60,0.222,0.362,0.323,0.685,39,1,4,140,3,5,6,47,285
Joyce, Matt,459964,2021,55,69,5,2,1,0,2,16,12,0.091,0.218,0.261,0.479,7,0,0,43,1,0,1,6,37
Butera, Drew,460077,2021,32,36,3,2,1,0,0,16,0,0.094,0.125,0.083,0.208,5,0,0,12,0,3,1,1,7
Romine, Andrew,461865,2021,60,64,11,8,2,0,1,24,4,0.183,0.267,0.234,0.501,5,2,0,26,0,0,0,7,23
Andrus, Elvis,462101,2021,497,541,121,91,25,2,3,81,31,0.243,0.32,0.292,0.612,37,2,13,146,6,3,4,60,313.5
Sandoval, Pablo,467055,2021,73,86,13,9,0,0,4,25,11,0.178,0.342,0.302,0.645,11,0,0,69,2,0,0,11,58.5
Ramos, Wilson,467092,2021,151,163,31,18,5,0,8,36,9,0.205,0.397,0.245,0.643,20,0,0,44,0,0,1,15,106
Santana, Carlos,467793,2021,565,659,121,87,15,0,19,102,86,0.214,0.342,0.319,0.66,69,0,2,158,3,0,5,66,439
Parra, Gerardo,467827,2021,97,107,23,16,5,0,2,30,6,0.237,0.351,0.29,0.64,10,1,1,53,2,1,1,13,61
Carrasco, Carlos,471911,2021,15,19,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,4,0,0,-5
Anderson, Brett,474463,2021,28,34,0,0,0,0,0,14,4,0,0,0.118,0.118,1,0,0,24,0,2,0,2,1
Mercer, Jordy,474568,2021,118,127,30,21,7,0,2,34,9,0.254,0.364,0.307,0.671,9,0,0,46,0,0,0,13,66
Belt, Brandon,474832,2021,325,381,89,44,14,2,29,103,48,0.274,0.597,0.378,0.975,59,2,3,97,7,0,1,65,384.5
Zimmerman, Ryan,475582,2021,255,273,62,32,16,0,14,77,16,0.243,0.471,0.286,0.756,46,0,0,110,0,0,2,27,216.5
Lowrie, Jed,476704,2021,457,512,112,70,28,0,14,108,49,0.245,0.398,0.318,0.717,69,0,0,139,2,0,4,55,372
Kershaw, Clayton,477132,2021,36,39,8,8,0,0,0,11,1,0.222,0.222,0.231,0.453,3,0,0,21,0,2,0,2,11.5
Avila, Alex,488671,2021,89,111,17,6,9,1,1,37,19,0.191,0.348,0.342,0.691,9,0,0,34,2,1,0,5,56.5
Brantley Jr., Michael,488726,2021,469,508,146,106,29,3,8,53,33,0.311,0.437,0.362,0.799,47,1,1,121,5,0,1,68,379.5
Castro, Jason,488771,2021,149,179,35,20,7,0,8,54,25,0.235,0.443,0.352,0.795,21,0,0,66,3,2,0,22,131
Miley, Wade,489119,2021,54,59,10,7,3,0,0,13,3,0.185,0.241,0.22,0.461,3,0,0,28,0,2,0,9,24.5
Gurriel, Yuli,493329,2021,530,605,169,123,31,0,15,68,59,0.319,0.462,0.383,0.846,81,1,1,143,4,0,12,83,520
Campbell, Eric,493472,2021,11,12,3,3,0,0,0,1,1,0.273,0.273,0.333,0.606,0,0,0,4,0,0,0,1,4.5
Rojas, Miguel,500743,2021,495,539,131,89,30,3,9,74,37,0.265,0.392,0.321,0.713,48,3,13,132,5,1,1,66,384
Escobar, Eduardo,500871,2021,549,599,139,80,26,5,28,124,48,0.253,0.472,0.314,0.786,90,0,1,146,1,0,1,77,505
Adrianza, Ehire,501303,2021,182,209,45,29,9,2,5,42,21,0.247,0.401,0.325,0.726,28,0,0,109,2,1,3,32,163
Lagares, Juan,501571,2021,309,327,73,45,20,2,6,76,12,0.236,0.372,0.263,0.635,38,2,1,112,1,4,1,39,205
Almonte, Abraham,501659,2021,148,175,32,15,12,0,5,38,26,0.216,0.399,0.331,0.73,19,1,1,64,0,0,1,20,125
Davis, Khris,501981,2021,102,114,21,12,5,1,3,31,10,0.206,0.363,0.272,0.635,10,0,0,42,0,0,2,11,62.5
Gibson, Kyle,502043,2021,29,30,4,3,0,0,1,10,0,0.138,0.241,0.133,0.375,2,0,0,13,0,1,0,3,9
Pham, Tommy,502054,2021,475,561,109,68,24,2,15,128,78,0.229,0.383,0.34,0.724,49,6,14,155,4,0,4,74,394
Martinez, J.D.,502110,2021,570,634,163,90,42,3,28,150,55,0.286,0.518,0.349,0.866,99,0,0,148,3,0,5,92,568
Espino, Paolo,502179,2021,30,33,5,5,0,0,0,15,0,0.167,0.167,0.152,0.318,0,0,0,32,0,3,0,2,-0.5
Reddick, Josh,502210,2021,151,158,39,26,11,0,2,31,6,0.258,0.371,0.285,0.656,21,0,0,54,0,0,1,15,103.5
Freeman, Mike,502273,2021,59,65,11,11,0,0,0,20,5,0.186,0.186,0.262,0.448,3,1,1,37,1,0,0,6,20
Dyson, Jarrod,502481,2021,135,149,28,19,7,2,0,33,10,0.207,0.289,0.255,0.544,10,5,10,102,0,3,1,17,84.5
Anderson, Chase,502624,2021,11,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,3,0,0,-3
Goldschmidt, Paul,502671,2021,603,679,177,108,36,2,31,136,67,0.294,0.514,0.365,0.879,99,0,12,158,4,0,5,102,637
Gonzalez, Marwin,503556,2021,276,307,55,36,14,0,5,78,20,0.199,0.304,0.274,0.578,28,2,3,91,9,1,1,30,164
Darvish, Yu,506433,2021,53,55,5,3,2,0,0,25,0,0.094,0.132,0.109,0.241,1,0,0,29,1,1,0,2,-0.5
Leon, Sandy,506702,2021,202,220,37,28,5,0,4,65,12,0.183,0.267,0.236,0.504,14,0,0,83,3,1,2,15,79.5
Sanchez, Adrian,506703,2021,35,38,9,7,2,0,0,4,3,0.257,0.314,0.316,0.63,1,0,0,16,0,0,0,5,19
Altuve, Jose,514888,2021,601,678,167,103,32,1,31,91,66,0.278,0.489,0.35,0.839,83,3,5,146,4,1,6,117,608.5
Hernandez, Cesar,514917,2021,570,637,132,88,21,2,21,135,59,0.232,0.386,0.308,0.694,62,1,1,149,5,0,3,84,425.5
Segura, Jean,516416,2021,514,567,149,105,27,3,14,78,39,0.29,0.436,0.347,0.783,58,3,9,131,9,1,4,76,440
Castro, Starlin,516770,2021,315,346,89,66,20,0,3,62,26,0.283,0.375,0.332,0.707,38,1,0,87,0,0,4,25,213
Marte, Starling,516782,2021,467,526,145,103,27,3,12,99,43,0.31,0.458,0.382,0.84,55,9,47,120,13,1,2,89,504.5
Bumgarner, Madison,518516,2021,39,52,4,3,1,0,0,29,9,0.103,0.128,0.269,0.397,3,0,0,25,1,2,1,3,9.5
Culberson, Charlie,518586,2021,247,271,60,38,15,2,5,64,17,0.243,0.381,0.292,0.672,22,1,7,90,2,4,1,23,161
d'Arnaud, Travis,518595,2021,209,229,46,25,14,0,7,53,17,0.22,0.388,0.284,0.671,26,0,0,60,2,0,1,21,146.5
Donaldson, Josh,518626,2021,457,543,113,61,26,0,26,114,74,0.247,0.475,0.352,0.827,72,0,0,135,4,0,8,73,455
Freeman, Freddie,518692,2021,600,695,180,122,25,2,31,107,85,0.3,0.503,0.393,0.896,83,3,8,159,8,0,2,120,640.5
Grandal, Yasmani,518735,2021,279,375,67,35,9,0,23,82,87,0.24,0.52,0.419,0.938,62,0,0,93,3,1,5,60,378
Heyward, Jason,518792,2021,323,353,69,44,15,2,8,68,27,0.214,0.347,0.28,0.627,30,1,5,104,3,0,0,35,212
Kelly, Merrill,518876,2021,47,58,3,2,1,0,0,27,4,0.064,0.085,0.121,0.206,1,0,0,27,0,7,0,1,-2.5
Kozma, Pete,518902,2021,11,12,1,1,0,0,0,4,1,0.091,0.091,0.167,0.258,0,0,0,3,0,0,0,0,0
LeMahieu, DJ,518934,2021,597,679,160,125,24,1,10,94,73,0.268,0.362,0.349,0.711,57,2,4,150,4,0,5,84,450
Lucroy, Jonathan,518960,2021,19,23,6,5,1,0,0,4,3,0.316,0.368,0.391,0.76,3,0,0,7,0,1,0,2,16
Moore, Matt,519043,2021,19,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,1,0,0,-6.5
Moreland, Mitch,519048,2021,229,252,52,30,11,1,10,58,18,0.227,0.415,0.286,0.701,30,0,0,81,2,0,3,28,174
Moustakas, Mike,519058,2021,183,206,38,20,12,0,6,46,18,0.208,0.372,0.282,0.653,22,0,0,62,2,0,3,21,130
Rizzo, Anthony,519203,2021,496,576,123,75,23,3,22,87,52,0.248,0.44,0.344,0.783,61,2,6,141,23,0,5,73,454.5
Romine, Austin,519222,2021,60,62,13,10,2,0,1,22,2,0.217,0.3,0.242,0.542,5,0,0,28,0,0,0,5,24
Sogard, Eric,519299,2021,169,180,42,34,6,1,1,30,9,0.249,0.314,0.283,0.597,12,1,3,78,0,0,2,16,92
Souza Jr., Steven,519306,2021,33,36,5,2,1,1,1,14,2,0.152,0.333,0.222,0.556,3,0,0,17,1,0,0,2,15
Stanton, Giancarlo,519317,2021,510,579,139,85,19,0,35,157,63,0.273,0.516,0.354,0.87,97,0,0,139,3,0,3,64,508.5
Vogt, Stephen,519390,2021,210,238,41,27,6,1,7,56,26,0.195,0.333,0.282,0.615,25,0,0,78,0,1,1,24,142
Galvis, Freddy,520471,2021,356,394,86,56,15,1,14,77,27,0.242,0.407,0.299,0.707,40,0,1,104,5,2,3,53,273.5
Perez, Salvador,521692,2021,620,665,169,97,24,0,48,170,28,0.273,0.544,0.316,0.859,121,0,1,161,13,0,4,88,625
Flores, Wilmer,527038,2021,389,436,102,67,16,1,18,56,41,0.262,0.447,0.335,0.782,53,0,1,139,3,0,3,57,355
LaMarre, Ryan,534606,2021,21,24,4,2,0,0,2,6,2,0.19,0.476,0.292,0.768,4,0,1,9,1,0,0,3,23
Tovar, Wilfredo,541600,2021,11,12,2,2,0,0,0,4,1,0.182,0.182,0.25,0.432,1,0,0,6,0,0,0,0,3
Garcia, Avisail,541645,2021,461,515,121,74,18,0,29,121,38,0.262,0.49,0.33,0.82,86,4,8,135,11,0,5,68,466.5
